"DispNum3","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","HiAct","HostLev","Recip","NumA","NumB","Ongo2010","StDate","EndDate","incidnum","year","loctext","latitude","longitude","onset"
4333,"01","01",1994,"01","01",1994,5,3,0,7,3,0,1,1,0,"01/01/1994","01/01/1994",4333001,1994,"Olovo, Bijeljina, Mondracko Lake, other areas of Eastern BOS",44.75,19.2,1
4334,"11","06",1999,"11","06",1999,3,4,0,8,3,0,1,1,0,"11/11/1999","11/11/1999",4334001,1999,"MAC-Kosovo border",42.11666,21.1,1
4335,"24","06",1999,"24","06",1999,5,3,0,7,3,0,1,1,0,"24/24/1999","24/24/1999",4335001,1999,"Off NOR coast",63.11666,7.7,1
4336,"23","03",2001,"23","03",2001,5,3,0,7,3,0,1,1,0,"23/23/2001","23/23/2001",4336001,2001,"In waters in the Yellow Sea off the Chinese coast",36.1,120.3333,1
4337,"20","05",1997,"01","05",1997,8,4,0,11,3,0,1,1,0,"20/20/1997","01/01/1997",4337001,1997,"Border between Iran and Iraq near Sulaymaniyah, Iraq",34.13334,42.36666,1
4338,"19","03",1999,"30","03",1999,7,4,0,15,4,0,1,1,0,"19/19/1999","30/30/1999",4338001,1999,"Baku, AZE",40.38334,49.86666,1
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339001,1998,"Kinshasa, capital of DRCongo.",-4.3,15.3,1
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339002,1998,"Goma, Uvira and Bukavu in Eastern DRCongo.",-1.683333,29.2,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339003,1998,"Kivu region in Eastern DRC, area around Kitona in Western DRC. Also progression",-2.5,28.83333,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339004,1998,"Kivu in northeast DRCongo",-2.5,28.83333,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339005,1998,"Gbadolite region in the northern part of DRC",4.283333,21.01667,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339006,1998,"Gbadolite region in the northern part of DRC",4.283333,21.01667,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339007,1998,0,-9999,-9999,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339008,1998,"Kivu region in north-eastern DRC",-2.5,28.83333,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339009,1998,"Around Kitona air base in the Bas-Congo province and towards Kinshasa.",-5.916667,12.45,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339010,1998,"Around the Kitona air base in the Bas-Congo province and towards Kinshasa",-5.916667,12.45,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339011,1998,"DRC - in and around Kinshasa and moving first westwards, then eastwards.",-4.3,15.3,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339012,1998,"DRC - in and around Kinshasa and moving first westwards, then eastwards.",-4.3,15.3,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339013,1998,"Predominantly fighting in the South-Eastern and Eastern DRCongo.",-6.116667,23.58333,0
4339,"01","08",1998,"03","06",2001,5,3,6,21,5,1,2,5,0,"01/01/1998","03/03/2001",4339014,1998,"Predominantly fighting in the South-Eastern and Eastern DRCongo.",-6.116667,23.58333,0
4340,"24","01",1993,"20","02",1993,5,4,1,16,4,1,1,1,0,"24/24/1993","20/20/1993",4340001,1993,"YUG/CRO border, near Krajina Region in CRO",45.55,17.78333,1
4340,"24","01",1993,"20","02",1993,5,4,1,16,4,1,1,1,0,"24/24/1993","20/20/1993",4340002,1993,0,-9999,-9999,0
4340,"24","01",1993,"20","02",1993,5,4,1,16,4,1,1,1,0,"24/24/1993","20/20/1993",4340003,1993,"Eastern CRO border with YUG",45.35,18.98333,0
